	Predator	Prey
931	100	100
932	104	100
933	145	100
934	185	100
935	187	100
936	225	100
937	227	100
938	145	101
939	78	102
940	145	102
941	78	103
942	145	103
943	165	103
944	78	104
945	100	104
946	145	104
947	156	104
948	185	104
949	225	104
950	145	105
951	145	106
952	145	107
953	78	108
954	100	108
955	104	108
956	145	108
957	150	108
958	156	108
959	165	108
960	166	108
961	217	108
962	145	109
963	208	109
964	145	110
965	208	110
966	214	110
967	61	111
968	145	111
969	208	111
970	164	112
971	217	112
972	100	113
973	104	113
974	145	113
975	155	113
976	156	113
977	78	114
978	100	114
979	104	114
980	144	114
981	145	114
982	150	114
983	155	114
984	156	114
985	174	114
986	183	114
987	185	114
988	200	114
989	206	114
990	217	114
991	78	115
992	145	115
993	156	115
994	78	116
995	145	116
996	156	116
997	175	116
998	78	117
999	145	117
1000	156	117
1001	78	118
1002	100	118
1003	104	118
1004	144	118
1005	145	118
1006	155	118
1007	156	118
1008	164	118
1009	166	118
1010	174	118
1011	177	118
1012	182	118
1013	183	118
1014	184	118
1015	185	118
1016	187	118
1017	192	118
1018	200	118
1019	206	118
1020	214	118
1021	217	118
1022	220	118
1023	61	119
1024	171	119
1025	78	120
1026	145	120
1027	208	120
1028	144	121
1029	78	122
1030	144	122
1031	165	122
1032	183	122
1033	78	123
1034	145	123
1035	208	123
1036	78	124
1037	145	124
1038	208	124
1039	78	125
1040	90	125
1041	100	125
1042	104	125
1043	145	125
1044	165	125
1045	187	125
1046	208	125
1047	219	125
1048	227	125
1049	230	125
1050	78	126
1051	145	126
1052	173	126
1053	183	126
1054	208	126
1055	165	127
1056	78	128
1057	145	128
1058	145	129
1059	145	130
1060	165	130
1061	208	130
1062	131	131
1063	139	131
1064	144	131
1065	146	131
1066	147	131
1067	148	131
1068	154	131
1069	155	131
1070	188	131
1071	192	131
1072	214	131
1073	217	131
1074	219	131
1075	228	131
1076	229	131
1077	231	131
1078	233	131
1079	234	131
1080	237	131
1081	239	131
1082	240	131
1083	241	131
1084	242	131
1085	243	131
1086	244	131
1087	144	132
1088	146	132
1089	147	132
1090	148	132
1091	150	132
1092	155	132
1093	213	132
1094	228	132
1095	229	132
1096	232	132
1097	243	132
1098	78	133
1099	144	133
1100	145	133
1101	165	133
1102	78	134
1103	145	134
1104	165	134
1105	72	135
1106	61	136
1107	72	136
1108	144	136
1109	146	136
1110	165	136
1111	78	138
1112	146	138
1113	156	138
1114	140	140
1115	144	140
1116	145	140
1117	146	140
1118	147	140
1119	148	140
1120	149	140
1121	188	140
1122	207	140
1123	208	140
1124	213	140
1125	214	140
1126	217	140
1127	219	140
1128	222	140
1129	223	140
1130	225	140
1131	226	140
1132	227	140
1133	229	140
1134	231	140
1135	233	140
1136	236	140
1137	237	140
1138	238	140
1139	239	140
1140	240	140
1141	241	140
1142	243	140
1143	234	141
1144	144	142
1145	145	142
1146	147	142
1147	208	142
1148	214	142
1149	217	142
1150	226	142
1151	228	142
1152	229	142
1153	230	142
1154	231	142
1155	232	142
1156	233	142
1157	234	142
1158	236	142
1159	237	142
1160	238	142
1161	239	142
1162	240	142
1163	242	142
1164	243	142
1165	146	143
1166	149	143
1167	232	143
1168	243	143
1169	144	144
1170	145	144
1171	146	144
1172	147	144
1173	148	144
1174	149	144
1175	155	144
1176	166	144
1177	183	144
1178	207	144
1179	213	144
1180	214	144
1181	215	144
1182	217	144
1183	219	144
1184	225	144
1185	226	144
1186	227	144
1187	228	144
1188	229	144
1189	231	144
1190	232	144
1191	233	144
1192	234	144
1193	236	144
1194	237	144
1195	238	144
1196	239	144
1197	240	144
1198	241	144
1199	243	144
1200	144	145
1201	145	145
1202	146	145
1203	147	145
1204	148	145
1205	149	145
1206	164	145
1207	166	145
1208	183	145
1209	187	145
1210	208	145
1211	212	145
1212	213	145
1213	214	145
1214	215	145
1215	217	145
1216	219	145
1217	222	145
1218	223	145
1219	229	145
1220	231	145
1221	236	145
1222	237	145
1223	238	145
1224	240	145
1225	243	145
1226	144	146
1227	146	146
1228	183	146
1229	240	146
1230	144	147
1231	147	147
1232	149	147
1233	151	147
1234	155	147
1235	164	147
1236	167	147
1237	183	147
1238	188	147
1239	208	147
1240	212	147
1241	213	147
1242	218	147
1243	236	147
1244	237	147
1245	238	147
1246	243	148
1247	131	149
1248	144	149
1249	147	149
1250	149	149
1251	208	149
1252	214	149
1253	217	149
1254	222	149
1255	223	149
1256	231	149
1257	233	149
1258	236	149
1259	237	149
1260	238	149
1261	241	149
1262	243	149
1263	244	149
1264	144	150
1265	145	150
1266	146	150
1267	147	150
1268	148	150
1269	149	150
1270	155	150
1271	187	150
1272	240	150
1273	243	150
1274	144	151
1275	156	151
1276	214	151
1277	217	151
1278	188	153
1279	217	155
1280	243	155
1281	156	156
1282	212	156
1283	213	156
1284	214	156
1285	144	157
1286	146	157
1287	144	158
1288	145	158
1289	1	159
1290	36	159
1291	68	159
1292	112	159
1293	132	159
1294	144	159
1295	145	159
1296	149	159
1297	156	159
1298	157	159
1299	165	159
1300	167	159
1301	187	159
1302	208	159
1303	211	159
1304	221	159
1305	232	159
1306	238	159
1307	146	160
1308	149	160
1309	155	160
1310	167	160
1311	217	160
1312	243	160
1313	144	161
1314	145	161
1315	147	161
1316	149	161
1317	188	161
